grid_point, analysis_value, analysis_increment
[15, 4],5445.017024051567,-14.533035001447388
[15, 5],5477.003044143322,-11.907903306794651
[15, 6],5500.571241186149,-19.528410981163688
[15, 7],5531.738620215855,-20.875581462493756
[15, 8],5568.152008106698,-12.53343087302892
[15, 9],5596.463440680727,-5.724815566222787
[15, 10],5618.654311088929,0.7945631938828228
[15, 11],5637.05822494598,8.62046722789637
[15, 12],5647.475826472346,12.39795448215773
[15, 13],5657.069014574916,17.481850592990668
[15, 14],5653.925219143858,10.696030578733371
[15, 15],5640.0201287284835,-6.6852249475086865
[15, 16],5625.628356655831,-25.503080233905166
[15, 17],5624.288236418087,-34.10101435172328
[15, 18],5652.371581559538,-19.02549691787044
[15, 19],5689.579441285371,-2.544112783163655
[15, 20],5732.436748704022,16.008885159721103
[15, 21],5774.509476540065,36.15168368324157
[16, 0],5175.025202398895,-71.38751303820936
[16, 1],5259.872642184137,-39.79421355024533
[16, 2],5351.469827510509,-16.781720722065074
[16, 3],5416.703705393198,-9.929520018053154
[16, 4],5454.104314984464,-12.724803902735403
[16, 5],5483.354394579923,-19.839548942661168
[16, 6],5515.237377478177,-27.47552980240198
[16, 7],5548.267045828615,-30.256137281651718
[16, 8],5583.099587645959,-22.71425091484616
[16, 9],5616.612763336233,-9.76960582232823
[16, 10],5639.109433967438,-2.93890236498828
[16, 11],5662.287686801341,8.716767964797327
[16, 12],5672.311704447904,9.645164987174212
[16, 13],5688.643498966719,17.209510614382452
[16, 14],5695.969133135767,15.694490428513745
[16, 15],5689.283208763333,0.7961676865725167
[16, 16],5688.604668264296,-7.691452524123633
[16, 17],5698.126325634435,-6.95211736962483
[16, 18],5719.568153546394,2.6658417789140003
[16, 19],5752.1371223842025,18.603722638484214
[16, 20],5788.3095686513525,35.48027551807627
[16, 21],5823.377826966581,53.19402768828331
[17, 0],5220.528199472432,-51.09928391274207
[17, 1],5302.706153046737,-20.93691199203022
[17, 2],5379.162743323026,-3.8768354965732215
[17, 3],5432.602388976764,-3.3619467416892803
[17, 4],5469.688290548012,-11.382167361742177
[17, 5],5502.005755958834,-25.80073804413678
[17, 6],5540.757157167166,-32.31099718735459
[17, 7],5572.868695797035,-33.28610168106934
[17, 8],5600.983721275584,-27.43029021881921
[17, 9],5634.500918656642,-11.318322135811286
[17, 10],5657.222041635171,-3.386746745659366
[17, 11],5680.312005827598,6.884305032330303
[17, 12],5695.658112814442,9.61245367709671
[17, 13],5713.520165440041,13.808932965926942
[17, 14],5729.064382989228,16.02074643142896
[17, 15],5737.4466049797475,13.116958073660498
[17, 16],5748.103822270596,14.299381040442313
[17, 17],5755.91174835902,13.10978519600667
[17, 18],5772.392275982482,19.557577401072194
[17, 19],5797.000052709947,31.782892857818297
[17, 20],5826.438932542836,47.225635658480314
[17, 21],5854.086811055805,62.181165086772126
[18, 0],5262.843292628453,-33.84745161662249
[18, 1],5340.933793322983,-4.136163110689267
[18, 2],5404.001028735638,4.6721897018042
[18, 3],5450.468345275381,-3.803575095810629
[18, 4],5484.347872866714,-23.316562525869813
[18, 5],5528.546034530973,-30.951742393889617
[18, 6],5569.673056426152,-31.753900434257957
[18, 7],5597.587654460756,-30.924322893900353
[18, 8],5623.125294847258,-23.543510178264114
[18, 9],5649.363286708591,-12.59077902604804
[18, 10],5675.546733323289,-0.8374058192830489
[18, 11],5701.705032731439,10.781349458178738
[18, 12],5713.79727649697,6.619671930941877
[18, 13],5733.319898720857,8.655899864228559
[18, 14],5754.503247701056,14.315248710328888
[18, 15],5775.1471838199095,22.85427273825917
[18, 16],5789.557723937753,27.522207172552044
[18, 17],5800.763987583915,30.12744498727625
[18, 18],5808.159654938618,29.29003695172196
