grid_point, analysis_value
[25, 7],5693.554571411236
[25, 8],5723.504712525384
[25, 9],5747.485996779123
[25, 10],5776.899123078373
[25, 11],5800.199282759715
[25, 12],5814.889944283066
[25, 13],5832.89415728457
[25, 14],5849.5404662893325
[25, 15],5866.568771823118
[25, 16],5876.422627489945
[25, 17],5889.982083633204
[25, 18],5902.681557796626
[25, 19],5909.485113115772
[25, 20],5917.302889025506
[25, 21],5922.304126608926
[26, 0],5425.279833715667
[26, 1],5479.969661116769
[26, 2],5518.338862592225
[26, 3],5555.854935267675
[26, 4],5592.2128832405
[26, 5],5627.034212757627
[26, 6],5669.160356615859
[26, 7],5708.538136886099
[26, 8],5737.967114981518
[26, 9],5760.096482772269
[26, 10],5782.296979895955
[26, 11],5798.300987811029
[26, 12],5820.667994718487
[26, 13],5839.0413221959025
[26, 14],5858.695917878552
[26, 15],5876.409375191935
[26, 16],5885.422519418936
[26, 17],5898.479881268975
[26, 18],5909.804593910789
[26, 19],5917.741050872746
[26, 20],5928.387175354706
[26, 21],5927.661850054492
[27, 0],5443.103431929005
[27, 1],5482.78457235204
[27, 2],5521.070152227194
[27, 3],5557.053380418447
[27, 4],5591.67924190964
[27, 5],5639.888804810666
[27, 6],5681.171050619026
[27, 7],5713.983447755853
[27, 8],5744.285632576581
[27, 9],5771.397019819231
[27, 10],5789.535569489565
[27, 11],5804.15122128426
[27, 12],5823.776045061364
[27, 13],5846.202781463136
[27, 14],5862.697233287216
[27, 15],5879.369329210554
[27, 16],5892.794703174444
[27, 17],5904.964725546578
[27, 18],5916.050719830197
[27, 19],5926.254662666008
[27, 20],5933.436782029519
[27, 21],5941.133580327927
